yearID,W,L,R,H,2B,3B,HR,name
2008,75,86,646,1318,270,23,125,Oakland Athletics
2008,92,70,799,1407,291,36,214,Philadelphia Phillies
2008,67,95,735,1454,314,21,153,Pittsburgh Pirates
2008,63,99,637,1390,264,27,154,San Diego Padres
2008,61,101,671,1498,285,20,124,Seattle Mariners
2008,72,90,640,1452,311,37,94,San Francisco Giants
2008,86,76,779,1585,283,26,174,St. Louis Cardinals
2008,97,65,774,1443,284,37,180,Tampa Bay Rays
2008,79,83,901,1619,376,35,194,Texas Rangers
2008,86,76,714,1453,303,32,126,Toronto Blue Jays
2008,59,102,641,1376,269,26,117,Washington Nationals
2009,70,92,720,1408,307,45,173,Arizona Diamondbacks
2009,86,76,735,1459,300,20,149,Atlanta Braves
2009,64,98,741,1508,307,19,160,Baltimore Orioles
2009,95,67,872,1495,335,25,212,Boston Red Sox
2009,79,83,724,1410,246,20,184,Chicago White Sox
2009,83,78,707,1398,293,29,161,Chicago Cubs
2009,78,84,673,1349,280,25,158,Cincinnati Reds
2009,65,97,773,1468,314,28,161,Cleveland Indians
2009,92,70,804,1408,300,50,190,Colorado Rockies
2009,86,77,743,1443,245,35,183,Detroit Tigers
2009,87,75,772,1493,296,25,159,Florida Marlins
2009,74,88,643,1415,270,32,142,Houston Astros
2009,65,97,686,1432,276,51,144,Kansas City Royals
2009,97,65,883,1604,293,33,173,Los Angeles Angels of Anaheim
2009,95,67,780,1511,278,39,145,Los Angeles Dodgers
2009,80,82,785,1447,281,37,182,Milwaukee Brewers
2009,87,76,817,1539,271,40,172,Minnesota Twins
2009,103,59,915,1604,325,21,244,New York Yankees
2009,70,92,671,1472,295,49,95,New York Mets
2009,75,87,759,1464,307,21,135,Oakland Athletics
2009,93,69,820,1439,312,35,224,Philadelphia Phillies
2009,62,99,636,1364,289,34,125,Pittsburgh Pirates
2009,75,87,638,1315,265,31,141,San Diego Padres
2009,85,77,640,1430,280,19,160,Seattle Mariners
2009,88,74,657,1411,275,43,122,San Francisco Giants
2009,91,71,730,1436,294,29,160,St. Louis Cardinals
2009,84,78,803,1434,297,36,199,Tampa Bay Rays
2009,87,75,784,1436,296,27,224,Texas Rangers
2009,75,87,798,1516,339,13,209,Toronto Blue Jays
2009,59,103,710,1416,271,38,156,Washington Nationals
2010,65,97,713,1366,301,34,180,Arizona Diamondbacks
2010,91,71,738,1411,312,25,139,Atlanta Braves
2010,66,96,613,1440,264,21,133,Baltimore Orioles
2010,89,73,818,1511,358,22,211,Boston Red Sox
2010,88,74,752,1467,263,21,177,Chicago White Sox
2010,75,87,685,1414,298,27,149,Chicago Cubs
2010,91,71,790,1515,293,30,188,Cincinnati Reds
2010,69,93,646,1362,290,20,128,Cleveland Indians
2010,83,79,770,1452,270,54,173,Colorado Rockies
2010,81,81,751,1515,308,32,152,Detroit Tigers
2010,80,82,719,1403,294,37,152,Florida Marlins
2010,76,86,611,1348,252,25,108,Houston Astros
2010,67,95,676,1534,279,31,121,Kansas City Royals
